id,character_id,sale_date,amount,verstamp
1,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,2,0x00000001
2,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,14,0x00000002
3,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,15,0x00000003
4,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,11,0x00000004
5,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,2,0x00000005
6,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,3,0x00000006
7,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,3,0x00000007
8,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,11,0x00000008
9,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,4,0x00000009
10,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,8,0x0000000a
11,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,16,0x0000000b
12,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,2,0x0000000c
13,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,12,0x0000000d
14,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,5,0x0000000e
15,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,12,0x0000000f
16,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,13,0x00000010
17,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,4,0x00000011
18,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,2,0x0000038b
19,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,13,0x0000038c
20,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,7,0x0000038d
21,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,6,0x0000038e
22,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,6,0x0000038f
23,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,9,0x00000390
24,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,11,0x00000391
25,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,8,0x00000392
26,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,11,0x00000393
27,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,5,0x00000394
28,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,11,0x00000395
29,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,11,0x00000396
30,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,10,0x00000397
31,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,1,0x00000398
32,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,2,0x00000399
33,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,15,0x00000806
34,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,8,0x00000807
35,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,8,0x00000808
36,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,5,0x00000809
37,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,5,0x0000080a
38,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,8,0x0000080b
39,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,8,0x0000080c
40,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,16,0x0000080d
41,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,6,0x0000080e
42,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,4,0x0000080f
43,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,11,0x00000810
44,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,14,0x00000811
45,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,15,0x00000b57
46,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,5,0x00001107
47,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,11,0x000017ed
48,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,7,0x000017ee
49,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,5,0x000017ef
50,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,12,0x000017f0
51,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,11,0x000017f1
52,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,5,0x000017f2
53,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,12,0x000017f3
54,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,15,0x000017f4
55,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,5,0x000017f5
56,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,13,0x000017f6
57,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,13,0x000017f7
58,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,8,0x000017f8
59,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,1,0x000017f9
60,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,1,0x000017fa
61,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,9,0x000017fb
62,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,15,0x000017fc
63,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,12,0x000017fd
64,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,1,0x000017fe
65,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,16,0x000017ff
66,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,4,0x00001800
67,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,14,0x00001801
68,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,16,0x00001802
69,d5c4daa3-c726-426a-aa98-fb40f3fba816,2023-01-01,2,0x00001803
70,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,15,0x00001804
71,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,12,0x00001805
72,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,14,0x00001806
73,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,4,0x00001807
74,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,9,0x00001ffe
75,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,10,0x00001fff
76,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,1,0x00002000
77,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,8,0x00002001
78,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,16,0x00002002
79,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,4,0x00002003
80,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,16,0x00002004
81,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,15,0x00002005
82,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,11,0x00002006
83,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,3,0x00002007
84,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,14,0x00002008
85,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,2,0x0000220d
86,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,6,0x0000220e
87,3569d265-bd27-44d8-88e8-82fb0a848374,2023-01-01,6,0x0000220f
88,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,16,0x00002210
89,af95bd8a-dfae-45bb-bc69-533860d34129,2023-01-01,15,0x00002211
90,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,13,0x00002212
91,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,4,0x00002213
92,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,5,0x00002214
93,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,5,0x00002215
94,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,9,0x00002216
95,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,15,0x00002217
96,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,9,0x00002218
97,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,9,0x00002219
98,6afb1960-febd-418d-b604-e50c1b59459b,2023-01-01,12,0x0000221a
99,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,2,0x0000221b
100,9e3f7ce4-b9a7-4244-b709-dae5c1f1d4a8,2023-01-01,5,0x0000221c
101,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,5,0x0000221d
102,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,4,0x0000221e
103,861c4cde-2f0f-4796-8d8f-9492e74b2573,2023-01-01,16,0x0000221f
104,4c7e6819-a91a-45b2-a454-f931e4a7cce3,2023-01-01,9,0x00002220
105,8f9aa40b-5d7c-441e-ad32-4564ecda3b70,2023-01-01,4,0x00002221
106,c3b1f9a5-b87b-48bf-b00d-95b093ea6390,2023-01-01,9,0x00002222
